name,id
Yalitza Aparicio,721
Josh O'Connor,722
Kelsey Asbille,724
Daniel Kaluuya,725
Rolf Lassgård,727
Taika Waititi,728
Hiromasa Yonebayashi,729
Shailene Woodley,732
Thomas Mann,733
Michael Keaton,734
Léa Seydoux,735
Amit Sadh,736
Veerle Baetens,737
Bruce Dern,740
John C. Reilly,741
Jeff Bridges,742
Owen Wilson,744
Phil Lord,745
Sandra Bullock,746
Abraham Attah,748
Jesse Eisenberg,749
James McAvoy,750
Zach Galifianakis,751
Bradley Cooper,753
Zooey Deschanel,755
Cate Blanchett,757
Frank Langella,758
Megumi Hayashibara,759
Angelina Jolie,760
Madeline Carroll,761
Riisa Naka,762
Tatsuya Fujiwara,763
Thomas Turgoose,764
Alicia Vikander,765
Josh Hartnett,769
Diane Kruger,770
Sam Riley,771
Byron Howard,772
Carice van Houten,773
Stephen Chow,777
Dakota Fanning,784
Eileen Walsh,786
Paddy Considine,788
Nicolas Cage,790
Moritz Bleibtreu,793
Jamie Bell,794
John Cameron Mitchell,795
Andrew Philpot,797
James Marsden,799
Trey Parker,800
Ron Livingston,801
Jane Adams,802
Jason Schwartzman,804
Eduardo Noriega,805
John Cusack,806
Thierry Lhermitte,809
Kenneth Branagh,813
Liesel Matthews,814
Leon Lai,815
Massimo Troisi,816
Brian O'Halloran,817
Andie MacDowell,818
Michael Caine,820
Shûichirô Moriyama,823
Kathy Bates,826
Bob Hoskins,829
Bernard-Pierre Donnadieu,830
Richard E. Grant,831
John Lone,832
Isabella Rossellini,835
Griffin Dunne,837
William Shatner,840
Donald Sutherland,842
David Zucker,843
Yasuo Yamada,844
Donald Pleasence,845
Roman Polanski,846
Walter Matthau,848
Cleavon Little,849
Bruce Lee,851
Jon Voight,852
Richard Burton,855
Lee Marvin,857
Catherine Deneuve,858
Paul Scofield,859
Stanley Baker,861
Rod Taylor,863
Karlheinz Böhm,865
Yul Brynner,866
Pierre Brasseur,867
Kevin McCarthy,868
Alec Guinness,870
Michael Rennie,873
Rita Hayworth,875
Samuel Armstrong,876
Claude Rains,877
John Cho,879
Maryana Spivak,881
Brooklynn Prince,882
Michael B. Jordan,883
Chris Evans,884
Michael Schwartz,885
Laia Costa,886
Günes Sensoy,887
Ansel Elgort,889
Josh Brolin,890
Emily Blunt,894
Aleksey Serebryakov,896
Judi Dench,898
Gary Oldman,899
Jose Coronado,900
Amy Poehler,903
Lady Gaga,904
Mikael Persbrandt,906
Chris Renaud,907
Joseph Gordon-Levitt,908
Aaron Taylor-Johnson,909
Luis Tosar,910
Antonio Banderas,912
Jürgen Vogel,914
Quinton Aaron,916
Richard Jenkins,917
Charlie Cox,920
Nora Twomey,921
Marion Cotillard,924
Gerard Butler,929
Scarlett Johansson,930
Jackie Earle Haley,931
Philip Seymour Hoffman,934
Brady Corbet,935
Guillaume Canet,936
Peter Dinklage,938
J. Mackye Gruber,943
Cillian Murphy,944
Maribel Verdú,947
Jude Law,951
Barry Cook,957
Susanne Lothar,959
Rufus Sewell,960
Bill Pullman,962
Emma Thompson,963
Zbigniew Zamachowski,968
Jason London,970
Joe Pesci,971
Miki Imai,972
Jean-Pierre Jeunet,973
Macaulay Culkin,974
Billy Crystal,976
Leslie Nielsen,978
Steve Martin,979
Michael Beck,984
Jim Henson,985
John Hubley,987
Brad Davis,988
Richard Dreyfuss,989
Elliott Gould,990
Rod Steiger,991
Phil Harris,993
David Hemmings,994
John Lennon,995
Tallulah Bankhead,999
Robert Donat,1000
Heath Ledger,3
Lee J. Cobb,5
Robin Wright,12
Eli Wallach,13
Keanu Reeves,15
Ray Liotta,16
Louise Fletcher,18
Phillipa Soo,19
Lee Sun-kyun,20
Madhavan,21
Anne Hathaway,22
Alexandre Rodrigues,23
Suzanne Pleshette,24
Michael Clarke Duncan,26
Nicoletta Braschi,27
Akira Ishihama,31
Donna Reed,33
J.K. Simmons,35
François Cluzet,36
Thomas Kretschmann,39
Edward Furlong,41
Gabriel Byrne,42
Linda Hamilton,45
Enzo Cannavale,46
Ayano Shiraishi,47
Christopher Lloyd,48
Charles Bronson,49
Janet Leigh,50
Paulette Goddard,52
Virginia Cherrill,53
Yordanos Shiferaw,54
Mone Kamishiraishi,57
Sakshi Tanwar,58
Rodney Rothman,59
Anthony Gonzalez,62
Christoph Waltz,63
Darsheel Safary,66
Elissa Knight,67
Martina Gedeck,68
Yoo Ji-Tae,69
Carrie-Anne Moss,70
Yuriko Ishida,71
James Woods,72
Karen Allen,73
Shelley Duvall,74
Tom Skerritt,76
Yutaka Sada,78
Marlene Dietrich,80
Ralph Meeker,81
Grace Kelly,82
Gloria Swanson,83
George MacKay,85
Adesh Prasad,86
Tabu,87
Meena,88
Thomas Bo Larsen,89
Leila Hatami,90
